"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
102,571945,"Mikolas, Miles",3004,3.4,0.154,0,0.171,0.154,0.135,0.219,0.214,6,39,83,11.5,2363,87.9,87.75,9,75,27,-0.20000000000000284,6.02,112,148,107,148,299,317,300
98,594798,"deGrom, Jacob",3210,3.1,0.222,0.139,0.212,0.361,0.241,0.281,0.272,8,36,89.2,10.6,2498,90.7,91.7,9,80,18,1,6.64,112,150,109,147,293,316,299
88,453562,"Arrieta, Jake",2759,3.2,0.351,0.162,0.387,0.514,0.36,0.268,0.257,13,37,83.3,13.2,2441,89.5,89,12,73,15,-0.5,5.82,107,153,109,146,296,323,293
82,502042,"Archer, Chris",2504,3.3,0.243,0.162,0.241,0.405,0.287,0.273,0.235,9,37,87.2,22.3,2545,87.6,86.38,11,65,17,-1.1999999999999886,5.43,108,153,116,147,301,320,289
79,592314,"Foltynewicz, Mike",3039,2.6,0.2,0.12,0.238,0.32,0.219,0.261,0.258,5,25,88.7,15.1,2533,86.8,86.33,13,65,14,-0.5,5.83,105,149,105,147,298,318,295
78,434378,"Verlander, Justin",3423,2.3,0.344,0.281,0.348,0.625,0.398,0.319,0.275,11,32,88.2,18.7,2662,86.6,85.72,12,60,18,-0.8999999999999915,5.74,110,154,115,152,291,316,288
75,468504,"Chacín, Jhoulys",3007,2.5,0.174,0.043,0.235,0.217,0.169,0.126,0.118,4,23,78.1,20.2,2375,79.4,77.82,15,55,20,-1.6000000000000085,5.23,109,155,110,149,301,316,290
75,519144,"Porcello, Rick",3095,2.4,0.289,0.211,0.27,0.5,0.324,0.342,0.293,11,38,87.8,11.1,2538,86.1,85.29,3,65,10,-0.7999999999999972,5.68,113,152,113,148,281,316,292
73,592351,"Gray, Jon",2798,2.6,0.417,0.25,0.433,0.667,0.461,0.351,0.344,15,36,84.8,11.7,2179,87.6,88.04,12,65,8,0.4000000000000057,6.28,113,150,111,144,301,321,299
72,518774,"Harvey, Matt",2531,2.8,0.242,0.152,0.259,0.394,0.269,0.215,0.203,8,33,85.3,15,2403,88.5,87.98,14,67,5,-0.5,5.79,115,151,112,147,297,311,293
72,547888,"Tanaka, Masahiro",2396,3,0.2,0.32,0.158,0.52,0.297,0.257,0.233,5,25,86.7,18.8,2358,83.1,81.45,14,56,16,-1.5999999999999943,5.37,105,156,116,146,298,325,291
67,548389,"Stripling, Ross",1930,3.5,0.313,0.156,0.29,0.469,0.334,0.328,0.313,10,32,86.8,16.1,2348,87.1,86.33,5,56,11,-0.7999999999999972,5.59,108,155,117,145,298,319,299
66,554430,"Wheeler, Zack",2882,2.3,0.32,0.04,0.348,0.36,0.296,0.194,0.2,8,25,83.1,17.3,2340,91,91.86,6,53,13,0.9000000000000057,6.63,113,153,112,149,292,316,297
64,571510,"Boyd, Matthew",2855,2.2,0.15,0.05,0.167,0.2,0.137,0.226,0.184,3,20,89.8,24.9,2291,80.2,79.22,4,38,26,-1,5.58,105,149,113,144,295,319,288
63,642545,"Barría, Jaime",2171,2.9,0.179,0.179,0.19,0.357,0.224,0.278,0.208,5,28,87.5,38.6,2272,81.6,80.4,10,48,15,-1.1999999999999886,5.38,107,153,113,147,299,321,296
62,425844,"Greinke, Zack",3209,1.9,0.304,0.522,0.167,0.826,0.468,0.497,0.317,7,23,91.3,29.6,2528,83.4,82.19,12,52,10,-1.2000000000000028,5.42,107,151,114,149,304,328,298
60,519242,"Sale, Chris",2524,2.4,0.05,0,0.077,0.05,0.042,0.111,0.091,1,20,83.1,14.7,2495,79.5,78.12,3,22,38,-1.4000000000000057,5.56,107,149,113,149,285,316,286
59,596001,"Junis, Jakob",2838,2.1,0.167,0.167,0.158,0.333,0.21,0.308,0.244,4,24,87.3,30.6,2501,82.2,80.98,5,45,14,-1.2000000000000028,5.45,113,155,115,144,300,321,298
59,622663,"Severino, Luis",3149,1.9,0.2,0.12,0.211,0.32,0.222,0.255,0.239,5,25,84.9,18.2,2837,88.3,87.42,7,45,14,-0.8999999999999915,5.81,107,153,113,147,296,322,290
56,475115,"Ross, Tyson",2497,2.2,0.238,0.286,0.2,0.524,0.301,0.316,0.276,5,21,89.4,15.2,2661,84.9,83.34,1,42,14,-1.6000000000000085,5.14,115,149,120,145,301,320,303
55,282332,"Sabathia, CC",2506,2.2,0.294,0.353,0.286,0.647,0.389,0.355,0.305,5,17,89,24,2230,79.6,79.71,3,27,28,0.10000000000000853,6.33,105,155,114,146,300,326,289
55,519455,"Zimmermann, Jordan",2074,2.7,0.348,0.217,0.333,0.565,0.386,0.296,0.234,8,23,89.6,31.6,2348,86.5,86.18,6,46,9,-0.29999999999999716,5.9,106,152,112,145,296,322,288
52,571666,"Fiers, Mike",2667,1.9,0.2,0.04,0.217,0.24,0.191,0.441,0.379,5,25,92.2,6.9,2393,85.2,84.8,3,44,8,-0.4000000000000057,5.92,108,148,111,146,295,318,291
50,625643,"López, Reynaldo",3083,1.6,0.136,0.045,0.2,0.182,0.137,0.179,0.17,3,22,83.2,13.3,2113,84,83.66,8,39,11,-0.29999999999999716,6.03,112,153,113,147,294,313,290
