"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
18,571927,"Matz, Steven",2702,0.7,0,0,0,0,0,0.09,0.096,0,7,66.2,5.3,2045,89.6,89.97,4,18,0,0.4000000000000057,6.37,106,147,113,147,296,317,295
16,477132,"Kershaw, Clayton",2576,0.6,0.286,0.143,0.5,0.429,0.298,0.19,0.211,2,7,71.9,25.8,2664,86.3,85.86,6,16,0,-0.3999999999999915,5.76,113,156,114,145,295,317,294
15,607644,"Means, John",2680,0.6,0.125,0,0.2,0.125,0.109,0.297,0.283,1,8,84.1,12.4,2315,83.7,83.34,5,15,0,-0.4000000000000057,5.79,110,160,121,151,291,319,298
13,519144,"Porcello, Rick",2927,0.4,0.143,0.143,0.25,0.286,0.174,0.106,0.114,1,7,77.5,29.5,2521,84.3,83.5,3,13,0,-0.7999999999999972,5.56,113,152,130,150,285,324,291
12,607536,"Freeland, Kyle",1779,0.7,0.167,0.5,0,0.667,0.323,0.121,0.082,1,6,91.9,14,2248,87.6,88.08,4,12,0,0.5,6.37,110,149,111,145,294,321,305
12,621381,"Strahm, Matt",1789,0.7,0.333,0,0.5,0.333,0.29,0.235,0.236,2,6,89.7,3.3,2510,86.8,85.8,2,12,0,-1,5.52,110,151,119,151,304,327,309
12,608331,"Fried, Max",2669,0.4,0.333,0,0.333,0.333,0.29,0.278,0.308,1,3,58.2,22.7,2517,84.3,83.27,0,12,0,-1,5.72,105,151,111,150,305,327,300
10,622694,"Hernandez, Elieser",1442,0.7,0,0,0,0,0,0.193,0.195,0,4,72.6,6,2164,77.6,76.62,3,10,0,-1,5.53,117,161,120,152,300,323,298
9,592716,"Sampson, Adrian",2056,0.4,0.2,0,0.333,0.2,0.174,0.224,0.236,1,5,89.5,14.7,2543,83.9,83.06,4,9,0,-0.8000000000000114,5.77,105,145,113,144,292,323,299
9,543037,"Cole, Gerrit",3360,0.3,0.333,0,1,0.333,0.29,0.186,0.206,2,6,70.3,16.5,2659,89.3,88.84,5,9,0,-0.5,5.81,114,156,117,151,298,312,291
9,622259,"Wingenter, Trey",906,1,0,0,0,0,0,0.003,0.004,0,2,67.4,64.5,2120,84.6,84.31,1,9,0,-0.29999999999999716,5.87,115,151,116,149,307,330,302
