year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2018,Chacín, Jhoulys,468504,Brewers,MIL,R,79.3,1347,3008,18.45398773006135,0.4478058510638298,SL,Slider,43.1,-44.9,-1.8,-4,13.3,8.6,4.8,56,0.2882882882882883,0.924924924924925
2018,Corbin, Patrick,571578,D-backs,AZ,L,81.7,1286,3142,19.395061728395063,0.4092934436664545,SL,Slider,42.8,-41,1.8,4,3.3,5.9,-2.6,-44,0.6696696696696697,0.22822822822822822
2018,Severino, Luis,622663,Yankees,NYY,R,88.1,1132,3152,19.45679012345679,0.35913705583756345,SL,Slider,38.3,-32.7,5.5,17,10.1,3.9,6.1,156,0.9459459459459459,0.93993993993994
2018,Archer, Chris,502042,Pirates,PIT,R,87.9,1043,2505,15.559006211180124,0.4163672654690619,SL,Slider,36.8,-33.7,3.2,9,4.9,3.8,1.2,31,0.8228228228228228,0.6996996996996997
2018,Ross, Tyson,475115,Cardinals,STL,R,84.6,1034,2499,15.425925925925926,0.413765506202481,SL,Slider,40,-38.4,1.6,4,5.1,4.9,0.2,5,0.6426426426426426,0.5915915915915916
2018,Kershaw, Clayton,477132,Dodgers,LAD,L,88.1,994,2364,14.503067484662576,0.42047377326565144,SL,Slider,23.9,-31.5,-7.6,-24,4.2,3.5,0.7,20,0.006006006006006006,0.6516516516516516
2018,Junis, Jakob,596001,Royals,KC,R,82.2,972,2838,17.51851851851852,0.34249471458773784,SL,Slider,45.2,-41.4,3.8,9,14.5,7,7.5,107,0.8678678678678678,0.9669669669669669
2018,Freeland, Kyle,607536,Rockies,COL,L,85.8,952,3250,19.938650306748468,0.2929230769230769,SL,Slider,32.6,-34.8,-2.2,-6,2.8,4.4,-1.6,-36,0.23123123123123124,0.3483483483483483
2018,Gray, Jon,592351,Rockies,COL,R,87.8,949,2800,17.177914110429448,0.3389285714285714,SL,Slider,28.9,-31.7,-2.8,-9,2.3,3.6,-1.3,-37,0.16816816816816818,0.38738738738738737
2018,Carrasco, Carlos,471911,Guardians,CLE,R,83.9,911,2970,18.333333333333332,0.30673400673400675,SL,Slider,41.7,-38.2,3.6,9,3,5.8,-2.9,-49,0.8588588588588588,0.1981981981981982
2018,Boyd, Matthew,571510,Tigers,DET,L,80.5,881,2860,17.65432098765432,0.30804195804195805,SL,Slider,41.3,-43.2,-1.9,-4,2.4,8.3,-5.9,-71,0.2672672672672673,0.03003003003003003
2018,Sale, Chris,519242,Red Sox,BOS,L,79.7,871,2525,15.58641975308642,0.3449504950495049,SL,Slider,49,-44,5.1,12,14.5,10,4.5,46,0.924924924924925,0.9099099099099099
2018,Foltynewicz, Mike,592314,Braves,ATL,R,86.7,831,3041,18.771604938271604,0.27326537323248934,SL,Slider,34.1,-34.4,-0.2,-1,4.2,4.4,-0.1,-3,0.46546546546546547,0.5405405405405406
2018,Tanaka, Masahiro,547888,Yankees,NYY,R,83.4,796,2398,14.802469135802468,0.33194328607172646,SL,Slider,39.4,-40.1,-0.7,-2,6.9,7.1,-0.2,-3,0.4174174174174174,0.5285285285285285
2018,Barría, Jaime,642545,Angels,LAA,R,81.8,782,2171,13.401234567901234,0.3602026715799171,SL,Slider,37.1,-41.3,-4.2,-10,2.3,5.7,-3.4,-59,0.06306306306306306,0.15915915915915915
2018,Hammel, Jason,434628,Royals,KC,R,85.1,780,2073,12.796296296296296,0.37626628075253254,SL,Slider,37.1,-36,1.1,3,5.2,4.4,0.8,17,0.6096096096096096,0.6636636636636637
2018,Mikolas, Miles,571945,Cardinals,STL,R,88,777,3004,18.54320987654321,0.25865512649800265,SL,Slider,32,-31.6,0.4,1,3.5,3.6,-0.1,-3,0.5255255255255256,0.5405405405405406
2018,Sabathia, CC,282332,Yankees,NYY,L,80,774,2507,15.475308641975309,0.3087355404866374,SL,Slider,41.4,-42.7,-1.3,-3,11.5,7.3,4.1,56,0.34534534534534533,0.8888888888888888
2018,Flaherty, Jack,656427,Cardinals,STL,R,83.6,774,2587,15.969135802469136,0.29918824893699264,SL,Slider,34.7,-37.3,-2.6,-7,5.4,5.6,-0.2,-4,0.18618618618618618,0.5285285285285285
2018,deGrom, Jacob,594798,Mets,NYM,R,91.1,770,3212,19.82716049382716,0.23972602739726026,SL,Slider,26.9,-27.2,-0.2,-1,3.9,2.5,1.4,55,0.46546546546546547,0.7207207207207207
2018,Verlander, Justin,434378,Astros,HOU,R,86.5,761,3427,21.15432098765432,0.22206011088415523,SL,Slider,34.6,-34.6,0,0,3.6,4.1,-0.5,-13,0.4894894894894895,0.4924924924924925
2018,Porcello, Rick,519144,Red Sox,BOS,R,86,756,3096,19.11111111111111,0.2441860465116279,SL,Slider,31.6,-35.3,-3.7,-10,2.7,4.4,-1.7,-39,0.0960960960960961,0.33633633633633636
2018,Liriano, Francisco,434538,Tigers,DET,L,84.5,745,2265,13.981481481481481,0.32891832229580575,SL,Slider,34.6,-37.1,-2.5,-7,2.9,5.1,-2.2,-44,0.1981981981981982,0.2672672672672673
2018,Bundy, Dylan,605164,Orioles,BAL,R,81.4,720,2844,17.555555555555557,0.25316455696202533,SL,Slider,43.8,-42.3,1.4,3,4.2,6.9,-2.7,-39,0.6306306306306306,0.21921921921921922
2018,Straily, Dan,573185,Marlins,MIA,R,83.7,703,2136,13.267080745341614,0.3291198501872659,SL,Slider,37.3,-38.1,-0.8,-2,5.4,4.9,0.4,9,0.3933933933933934,0.6246246246246246
2018,Clevinger, Mike,605182,Guardians,CLE,R,79.5,689,3265,20.15432098765432,0.2110260336906585,SL,Slider,41.9,-43.4,-1.5,-3,16.5,10,6.5,65,0.32432432432432434,0.9459459459459459
2018,Zimmermann, Jordan,519455,Tigers,DET,R,86.7,689,2076,12.814814814814815,0.33188824662813105,SL,Slider,28.8,-33.9,-5,-15,3.1,4.2,-1.1,-26,0.03303303303303303,0.4114114114114114
