"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1160,434643,"Rodriguez, Wandy",3205,36.2,0.251,0.102,0.346,0.352,0.28,,,79,315,,,,76.2,,161,533,627,,,,,,,,,
995,461829,"González, Gio",3369,29.5,0.154,0.051,0.259,0.206,0.185,,,39,253,,,,79,,154,435,560,,,,,,,,,
951,112020,"Carpenter, Chris",3549,26.8,0.146,0.058,0.26,0.204,0.18,,,33,226,,,,74.6,,124,362,589,,,,,,,,,
948,425794,"Wainwright, Adam",3356,28.2,0.173,0.071,0.279,0.244,0.199,,,44,254,,,,74.5,,163,435,513,,,,,,,,,
736,407793,"Lackey, John",3598,20.5,0.281,0.167,0.321,0.448,0.35,,,54,192,,,,80.2,,63,330,406,,,,,,,,,
733,434378,"Verlander, Justin",3745,19.6,0.148,0.045,0.274,0.194,0.17,,,23,155,,,,80.1,,48,209,524,,,,,,,,,
663,451596,"Gallardo, Yovani",3203,20.7,0.253,0.078,0.4,0.331,0.269,,,42,166,,,,80.7,,106,297,366,,,,,,,,,
657,433657,"Bush, Dave",2953,22.2,0.269,0.149,0.3,0.417,0.317,,,47,175,,,,68.9,,69,304,353,,,,,,,,,
616,408206,"Myers, Brett",3457,17.8,0.166,0.029,0.293,0.194,0.174,,,29,175,,,,76.4,,95,301,315,,,,,,,,,
603,136880,"Halladay, Roy",3568,16.9,0.192,0.122,0.302,0.314,0.236,,,30,156,,,,78.6,,129,302,301,,,,,,,,,
602,217096,"Zito, Barry",3249,18.5,0.209,0.081,0.306,0.291,0.237,,,31,148,,,,72.8,,56,270,332,,,,,,,,,
593,444857,"Feldman, Scott",2410,24.6,0.248,0.12,0.283,0.368,0.277,,,33,133,,,,76.2,,63,268,325,,,,,,,,,
583,150116,"Wolf, Randy",3575,16.3,0.331,0.194,0.375,0.524,0.391,,,41,124,,,,67.5,,50,229,354,,,,,,,,,
578,434578,"Saunders, Joe",3315,17.4,0.185,0.056,0.271,0.241,0.197,,,20,108,,,,76.8,,58,186,392,,,,,,,,,
554,429780,"Narveson, Chris",2893,19.1,0.163,0.068,0.28,0.231,0.188,,,24,147,,,,74.4,,57,212,342,,,,,,,,,
544,282656,"Sheets, Ben",1950,27.9,0.215,0.154,0.302,0.369,0.269,,,32,149,,,,79,,66,239,305,,,,,,,,,
531,430904,"Maholm, Paul",3068,17.3,0.286,0.088,0.338,0.374,0.294,,,26,91,,,,73.3,,44,183,348,,,,,,,,,
531,452657,"Lester, Jon",3357,15.8,0.134,0.071,0.258,0.205,0.177,,,17,127,,,,78.1,,78,208,323,,,,,,,,,
495,150414,"Westbrook, Jake",3333,14.9,0.14,0.083,0.176,0.223,0.174,,,17,121,,,,79.9,,77,211,284,,,,,,,,,
487,435043,"Duke, Zach",2638,18.5,0.213,0.157,0.232,0.37,0.253,,,23,108,,,,73.2,,50,205,282,,,,,,,,,
483,445156,"Marshall, Sean",1190,40.6,0.19,0.052,0.323,0.241,0.219,,,22,116,,,,77.4,,74,221,262,,,,,,,,,
470,430912,"Cain, Matt",3501,13.4,0.226,0.113,0.295,0.34,0.255,,,24,106,,,,77.5,,39,170,300,,,,,,,,,
469,450308,"Weaver, Jered",3713,12.6,0.248,0.069,0.277,0.317,0.257,,,25,101,,,,71,,72,204,265,,,,,,,,,
451,460069,"Romero, Ricky",3241,13.9,0.16,0.053,0.278,0.213,0.167,,,15,94,,,,76.2,,65,156,295,,,,,,,,,
441,453311,"Lincecum, Tim",3437,12.8,0.361,0.125,0.369,0.486,0.388,,,26,72,,,,78,,30,153,288,,,,,,,,,
432,276520,"Arroyo, Bronson",3257,13.3,0.288,0.274,0.263,0.562,0.419,,,21,73,,,,71.1,,23,141,291,,,,,,,,,
425,477003,"Niese, Jonathon",2947,14.4,0.272,0.109,0.451,0.38,0.29,,,25,92,,,,74.8,,53,177,248,,,,,,,,,
420,425856,"Floyd, Gavin",3020,13.9,0.161,0.085,0.246,0.246,0.185,,,19,118,,,,79.2,,45,165,255,,,,,,,,,
394,447744,"Valdes, Raul",1066,37,0.198,0.119,0.243,0.317,0.258,,,20,101,,,,76.4,,55,169,225,,,,,,,,,
391,277417,"Beckett, Josh",2172,18,0.233,0.128,0.34,0.36,0.277,,,20,86,,,,76.5,,39,134,257,,,,,,,,,
387,488984,"Hunter, Tommy",1905,20.3,0.21,0.14,0.257,0.35,0.246,,,21,100,,,,77.4,,38,162,225,,,,,,,,,
384,456696,"Hernandez, David",1419,27.1,0.169,0.084,0.295,0.253,0.232,,,14,83,,,,81,,53,141,243,,,,,,,,,
384,435298,"Niemann, Jeff",2636,14.6,0.227,0.175,0.31,0.402,0.283,,,22,97,,,,78.9,,39,136,248,,,,,,,,,
383,134320,"Vazquez, Javier",2704,14.2,0.226,0.226,0.237,0.452,0.327,,,19,84,,,,73.4,,39,157,226,,,,,,,,,
381,445060,"Nolasco, Ricky",2475,15.4,0.184,0.143,0.226,0.327,0.243,,,18,98,,,,75.9,,40,154,227,,,,,,,,,
380,434628,"Hammel, Jason",2837,13.4,0.209,0.118,0.344,0.327,0.261,,,23,110,,,,78.3,,48,169,211,,,,,,,,,
