"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1047,543766,"Shaw, Bryan",1208,86.7,0.237,0.104,0.287,0.342,0.273,0.259,0.228,57,240,84.8,3.2,2431,94.3,93.26,128,537,510,-1,5.52,106,150,111,147,289,312,290
979,407793,"Lackey, John",2772,35.3,0.211,0.141,0.268,0.352,0.269,0.279,0.216,57,270,85.6,14.6,2165,82.5,81.83,165,510,469,-0.7000000000000028,5.85,115,152,109,150,296,318,296
887,452657,"Lester, Jon",3131,28.3,0.241,0.153,0.287,0.394,0.286,0.259,0.219,52,216,84.4,13,2333,87.8,87.8,112,490,397,0,6.18,112,151,107,148,297,317,295
851,445276,"Jansen, Kenley",1012,84.1,0.194,0.112,0.292,0.306,0.232,0.222,0.181,38,196,83.4,19.5,2611,93.2,94.49,167,479,372,1.2999999999999972,6.92,114,152,109,147,297,321,297
707,458708,"Tomlin, Josh",2088,33.9,0.311,0.164,0.373,0.476,0.345,0.333,0.289,70,225,86.4,14.5,2572,85.5,84.43,84,406,301,-1.0999999999999943,5.39,106,151,111,148,287,313,291
706,282332,"Sabathia, CC",2340,30.2,0.239,0.168,0.26,0.408,0.307,0.333,0.271,44,184,82.8,8.7,2155,89.9,90.71,59,351,355,0.7999999999999972,6.7,104,149,110,144,302,322,288
670,446372,"Kluber, Corey",2945,22.8,0.25,0.22,0.284,0.47,0.313,0.293,0.244,42,168,83.7,8.5,2580,89,88.95,147,388,282,0,5.98,108,151,110,149,287,311,290
648,444857,"Feldman, Scott",1909,33.9,0.326,0.191,0.372,0.518,0.391,0.373,0.31,46,141,84.3,8.2,2251,88.3,88.14,61,309,339,-0.20000000000000284,6.13,116,150,110,148,294,303,280
626,517008,"Colomé, Alex",996,62.9,0.188,0.063,0.248,0.25,0.202,0.213,0.185,33,176,86.6,7.1,2116,89.5,88.89,102,333,293,-0.5999999999999943,5.96,116,150,116,144,301,333,301
597,518516,"Bumgarner, Madison",1666,35.8,0.228,0.161,0.287,0.389,0.283,0.3,0.254,34,149,89.3,10.6,2198,86.8,86.67,73,332,265,-0.09999999999999432,6.21,106,147,110,146,295,315,297
558,606930,"Barnes, Jacob",1228,45.4,0.188,0.117,0.269,0.305,0.234,0.231,0.189,24,128,83.9,2.9,2366,90.7,91.3,141,288,270,0.5999999999999943,6.59,110,153,116,150,302,315,291
529,502004,"Kontos, George",1020,51.9,0.219,0.153,0.271,0.372,0.283,0.264,0.2,30,137,84.3,10.1,2424,87.2,86.3,107,290,239,-0.9000000000000057,5.68,110,148,110,145,294,313,295
522,543022,"Chatwood, Tyler",2461,21.2,0.18,0.15,0.231,0.331,0.234,0.257,0.21,24,133,86.7,4.4,2625,89.1,88.49,87,266,256,-0.5999999999999943,5.72,110,151,113,145,304,322,302
520,502190,"Leake, Mike",2779,18.7,0.182,0.104,0.214,0.286,0.208,0.261,0.225,28,154,84.6,13.6,2201,88.9,86.83,59,298,222,-2.1000000000000085,5.01,112,148,110,147,293,316,299
516,502085,"Robertson, David",1032,50,0.196,0.108,0.269,0.304,0.291,0.307,0.206,20,102,88.3,13.6,2551,91.6,92.18,47,206,310,0.6000000000000085,6.62,110,152,109,146,298,319,293
509,448306,"Shields, James",2016,25.2,0.277,0.259,0.27,0.536,0.379,0.394,0.306,31,112,87.4,10.1,2393,85.9,86.63,57,254,255,0.6999999999999886,6.54,111,152,111,146,293,308,290
506,572193,"Tepera, Ryan",1275,39.7,0.163,0.171,0.216,0.333,0.233,0.251,0.185,21,129,85.6,19.1,2474,88.6,88.36,112,272,234,-0.19999999999998863,6.07,112,152,114,147,299,323,294
502,425794,"Wainwright, Adam",2155,23.3,0.296,0.183,0.305,0.478,0.35,0.307,0.262,34,115,83.3,12.6,2377,84.2,84.11,47,262,240,-0.10000000000000853,5.98,110,147,109,146,293,316,297
488,448614,"Torres, Carlos",1248,39.1,0.273,0.2,0.269,0.473,0.341,0.321,0.255,30,110,83,11.2,2363,92.4,92.21,61,284,204,-0.20000000000000284,6.03,108,152,115,149,302,313,289
485,541640,"Ramirez, Erasmo",1998,24.3,0.216,0.171,0.233,0.387,0.259,0.313,0.225,24,111,87.8,20.5,2419,88.8,88.81,49,252,233,0,6.18,113,153,113,148,293,323,298
481,543883,"Vincent, Nick",945,50.9,0.281,0.086,0.313,0.367,0.286,0.288,0.253,36,128,84.1,17.4,2495,87.3,86.74,49,278,203,-0.5999999999999943,5.8,108,152,110,148,292,317,293
479,501817,"Barnette, Tony",1035,46.3,0.296,0.167,0.329,0.463,0.334,0.315,0.269,32,108,86.1,10.7,2550,88.7,89.34,56,243,236,0.5999999999999943,6.39,103,147,110,145,294,323,290
456,474699,"Worley, Vance",1238,36.8,0.336,0.172,0.367,0.509,0.381,0.344,0.289,39,116,87.4,7.2,2202,87.7,86.08,45,236,220,-1.6000000000000085,5.41,108,150,108,149,295,321,299
454,608379,"Wacha, Michael",2690,16.9,0.261,0.179,0.3,0.44,0.327,0.332,0.279,35,134,84.9,5,2152,90.7,91.75,43,228,226,1,6.64,111,149,110,147,291,316,298
