"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1408,605200,"Davies, Zach",2680,52.5,0.291,0.184,0.311,0.475,0.349,0.357,0.284,87,299,90.3,14.2,2233,88.4,87.59,48,522,886,-0.8000000000000114,5.81,108,156,113,150,301,320,294
1386,641712,"Hudson, Dakota",2848,48.7,0.289,0.177,0.297,0.466,0.359,0.377,0.303,101,350,90.6,-1.3,2134,93.5,94.16,81,613,773,0.7000000000000028,6.44,112,149,109,148,296,320,298
1367,571927,"Matz, Steven",2702,50.6,0.276,0.166,0.345,0.442,0.333,0.327,0.261,78,283,89.9,11.3,2102,93.3,93.36,113,559,808,0.10000000000000853,6.33,110,150,110,145,298,316,292
1356,664192,"Lucchesi, Joey",2643,51.3,0.252,0.178,0.286,0.43,0.32,0.305,0.231,79,314,87.3,7.6,2215,90.1,90.3,103,587,769,0.20000000000000284,6.33,112,152,113,149,304,327,302
1216,453562,"Arrieta, Jake",2192,55.5,0.304,0.17,0.328,0.474,0.366,0.364,0.291,88,289,89.6,4.9,2196,92.5,91.75,57,515,701,-0.7999999999999972,5.96,108,150,113,149,299,322,293
1165,474463,"Anderson, Brett",2659,43.8,0.291,0.157,0.289,0.447,0.331,0.364,0.298,91,313,89.3,-0.7,1799,90.7,89.84,72,552,613,-0.9000000000000057,5.67,106,148,119,149,298,324,297
1140,647336,"Soroka, Mike",2557,44.6,0.29,0.124,0.297,0.414,0.319,0.345,0.303,89,307,90.4,-0.1,2175,92.3,90.43,70,568,572,-1.8999999999999915,5.19,107,150,112,149,306,327,296
1130,571578,"Corbin, Patrick",3299,34.3,0.28,0.159,0.305,0.439,0.335,0.366,0.282,83,296,91.1,3.7,2195,91.8,92.04,62,509,621,0.20000000000000284,6.41,108,150,112,146,306,316,294
1120,543294,"Hendricks, Kyle",2698,41.5,0.276,0.164,0.3,0.44,0.329,0.332,0.278,76,275,87,8.2,1959,86.7,86.11,85,521,599,-0.6000000000000085,5.74,111,151,110,150,297,320,294
1114,592716,"Sampson, Adrian",2056,54.2,0.353,0.324,0.355,0.676,0.446,0.433,0.336,96,272,92.6,15.8,2016,92.5,92.13,62,528,586,-0.4000000000000057,6.15,107,152,112,148,294,322,302
1106,573186,"Stroman, Marcus",3047,36.3,0.306,0.131,0.333,0.437,0.355,0.327,0.267,82,268,89.7,-1.5,2345,92.5,91.85,70,483,623,-0.7000000000000028,5.71,110,151,113,148,298,317,296
1101,467100,"Nova, Iván",3005,36.6,0.333,0.174,0.352,0.508,0.382,0.356,0.298,107,321,88.6,3.2,2162,92.3,91.7,62,587,514,-0.5999999999999943,5.89,108,150,112,148,294,321,295
1092,630023,"Chirinos, Yonny",1985,55,0.271,0.195,0.281,0.466,0.331,0.375,0.306,75,277,89.5,9.4,2278,93.9,93.55,70,538,554,-0.4000000000000057,6.17,108,160,117,149,292,325,298
1016,592767,"Smyly, Drew",2130,47.7,0.268,0.373,0.241,0.641,0.41,0.405,0.277,56,209,90.6,22.6,2084,91.2,89.78,92,468,548,-1.4000000000000057,5.45,106,152,114,148,296,321,295
1000,605135,"Bassitt, Chris",2430,41.2,0.235,0.129,0.25,0.364,0.3,0.336,0.262,51,217,88.7,8.6,2146,93.2,93.04,70,470,530,-0.20000000000000284,6.07,109,147,117,150,301,325,300
