"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1154,429722,"Santana, Ervin",3428,33.7,0.169,0.098,0.29,0.267,0.218,,,50,296,,,,84.6,,233,529,625,,,,,,,,,
1091,446209,"Litsch, Jesse",2755,39.6,0.257,0.118,0.283,0.375,0.302,,,74,288,,,,85.9,,83,522,569,,,,,,,,,
1066,451482,"Galarraga, Armando",2780,38.3,0.165,0.119,0.212,0.284,0.218,,,47,285,,,,85.1,,176,565,501,,,,,,,,,
953,456501,"Cueto, Johnny",3037,31.4,0.231,0.153,0.287,0.384,0.301,,,56,242,,,,86.1,,141,455,498,,,,,,,,,
917,430636,"Snell, Ian",3005,30.5,0.3,0.17,0.405,0.47,0.356,,,74,247,,,,84.3,,155,495,422,,,,,,,,,
893,133225,"Dempster, Ryan",3341,26.7,0.181,0.09,0.253,0.271,0.217,,,40,221,,,,85.2,,177,469,424,,,,,,,,,
861,424144,"Pérez, Oliver",3366,25.6,0.192,0.141,0.296,0.333,0.268,,,41,213,,,,79.2,,147,370,491,,,,,,,,,
816,435044,"Baker, Scott",2694,30.3,0.201,0.057,0.283,0.258,0.213,,,42,209,,,,80.9,,112,418,398,,,,,,,,,
796,282332,"Sabathia, CC",3814,20.9,0.123,0.03,0.275,0.153,0.131,,,29,235,,,,81.3,,180,406,390,,,,,,,,,
791,110683,"Batista, Miguel",2108,37.5,0.265,0.243,0.29,0.508,0.354,,,49,185,,,,86.8,,87,372,419,,,,,,,,,
746,120485,"Pettitte, Andy",3274,22.8,0.241,0.155,0.324,0.395,0.294,,,53,220,,,,83.4,,132,416,330,,,,,,,,,
743,461791,"Marmol, Carlos",1509,49.2,0.075,0.025,0.125,0.1,0.147,,,12,160,,,,82.6,,84,248,495,,,,,,,,,
731,150404,"Lilly, Ted",3240,22.6,0.229,0.115,0.267,0.344,0.286,,,44,192,,,,83.5,,63,356,375,,,,,,,,,
724,116615,"Johnson, Randy",2900,25,0.258,0.158,0.329,0.416,0.305,,,54,209,,,,85.2,,107,429,295,,,,,,,,,
708,425487,"Wellemeyer, Todd",3095,22.9,0.161,0.1,0.202,0.261,0.189,,,29,180,,,,85.8,,148,379,329,,,,,,,,,
