"","year","pitch","pitch_count","all_pitches","pitch_usage"
"1","2008","Change",67755,666577,0.101646171410055
"2","2008","Curveball",54984,666577,0.0824870945142122
"3","2008","Cutter",34359,666577,0.0515454328607198
"4","2008","Fastball",239881,666577,0.359869902501886
"5","2008","Sinker",167803,666577,0.25173835880926
"6","2008","Slider",98890,666577,0.148354953741278
"7","2009","Change",68897,685266,0.100540520031637
"8","2009","Curveball",57813,685266,0.084365779128105
"9","2009","Cutter",35200,685266,0.0513669144536574
"10","2009","Fastball",250646,685266,0.365764535231574
"11","2009","Sinker",166168,685266,0.242486859117481
"12","2009","Slider",103636,685266,0.151234703020433
"13","2010","Change",73966,678343,0.109039232364748
"14","2010","Curveball",55411,678343,0.0816858138139555
"15","2010","Cutter",37122,678343,0.054724527267179
"16","2010","Fastball",232393,678343,0.342589221087267
"17","2010","Sinker",176423,678343,0.260079340392692
"18","2010","Slider",99504,678343,0.146686853111184
"19","2011","Change",71003,675786,0.105067284613768
"20","2011","Curveball",54232,675786,0.0802502567380798
"21","2011","Cutter",41278,675786,0.0610814666181306
"22","2011","Fastball",233579,675786,0.345640483821802
"23","2011","Sinker",166423,675786,0.246265829715324
"24","2011","Slider",106370,675786,0.157401899417863
"25","2012","Change",69566,673190,0.103337839243007
"26","2012","Curveball",59559,673190,0.0884727937135133
"27","2012","Cutter",39506,673190,0.0586847695301475
"28","2012","Fastball",235995,673190,0.350562248399412
"29","2012","Sinker",162802,673190,0.241836628589254
"30","2012","Slider",102524,673190,0.152295785736568
"31","2013","Change",71257,676703,0.105300257276826
"32","2013","Curveball",55408,676703,0.0818793473650922
"33","2013","Cutter",39568,676703,0.0584717372318432
"34","2013","Fastball",244372,676703,0.361121496431965
"35","2013","Sinker",157006,676703,0.232016113420511
"36","2013","Slider",105643,676703,0.156114277607754
"37","2014","Change",71648,667186,0.10738834447965
"38","2014","Curveball",55328,667186,0.0829273995557461
"39","2014","Cutter",42547,667186,0.0637708225292497
"40","2014","Fastball",239004,667186,0.358226941212795
"41","2014","Sinker",156881,667186,0.235138327243078
"42","2014","Slider",97181,667186,0.145658032392766
"43","2015","Change",73772,667216,0.110566892880267
"44","2015","Curveball",53090,667216,0.0795694347857366
"45","2015","Cutter",39779,667216,0.0596193736361238
"46","2015","Fastball",247902,667216,0.371546845399391
"47","2015","Sinker",148410,667216,0.222431716265797
"48","2015","Slider",99962,667216,0.149819548691878
"49","2016","Change",72195,681562,0.105925799853865
"50","2016","Curveball",62575,681562,0.0918111631810459
"51","2016","Cutter",36252,681562,0.0531895851001083
"52","2016","Fastball",256112,681562,0.375772123445849
"53","2016","Sinker",144019,681562,0.211307261848519
"54","2016","Slider",105886,681562,0.155357839785669
"55","2017","Change",71017,681575,0.104195429703261
"56","2017","Curveball",56142,681575,0.0823709789825038
"57","2017","Cutter",38296,681575,0.056187506877453
"58","2017","Fastball",247527,681575,0.363169130323149
"59","2017","Sinker",149710,681575,0.219653009573415
"60","2017","Slider",115484,681575,0.169436965851154
"61","2018","Change",73875,686488,0.107612951719477
"62","2018","Curveball",56876,686488,0.0828506834788081
"63","2018","Cutter",40437,686488,0.0589041614711401
"64","2018","Fastball",250446,686488,0.364822109053618
"65","2018","Sinker",140234,686488,0.204277423640326
"66","2018","Slider",120145,686488,0.175013984221137
"67","2019","Change",78479,698450,0.112361657956905
"68","2019","Curveball",62737,698450,0.0898231798983463
"69","2019","Cutter",47291,698450,0.0677084973870714
"70","2019","Fastball",260317,698450,0.372706707709929
"71","2019","Sinker",117367,698450,0.168039229722958
"72","2019","Slider",127528,698450,0.182587157276827
"73","2020","Change",30084,251719,0.119514220221755
"74","2020","Curveball",22380,251719,0.0889086640261561
"75","2020","Cutter",18157,251719,0.072132020228906
"76","2020","Fastball",87981,251719,0.349520695696392
"77","2020","Sinker",40574,251719,0.161187673556625
"78","2020","Slider",45211,251719,0.179609008457844
"79","2021","Change",79604,682363,0.11665931476355
"80","2021","Curveball",56731,682363,0.0831390330366682
"81","2021","Cutter",48114,682363,0.0705108571244338
"82","2021","Fastball",248133,682363,0.363637829132002
"83","2021","Sinker",108697,682363,0.159294979358494
"84","2021","Slider",134756,682363,0.197484330187891
"85","2022","Change",79681,682328,0.116778147752987
"86","2022","Curveball",58969,682328,0.0864232451255115
"87","2022","Cutter",50491,682328,0.073998135793929
"88","2022","Fastball",230981,682328,0.338519011384554
"89","2022","Sinker",110723,682328,0.162272396853126
"90","2022","Slider",145907,682328,0.213837040250437
