"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_spin_rate","mean_velocity","mean_release_extension","mean_effective_speed","mean_eff_min_vel","mean_iso","mean_babip","mean_slg","mean_woba","mean_xwoba","mean_xba","mean_launch_speed","mean_launch_angle","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"1","2015","Change",73629,11996,38626,34996,19066,4560,1721.37386084287,84.0055209224626,6.11321870458651,83.5079668337204,-0.49043447554632,0.146448776976463,0.279338888209809,0.387717814991376,0.291674842792921,0.286346765540752,0.236117901913648,85.6688668866887,8.55925518477774,0.23916920172034,0.52460307759171,0.310568011184176,0.689431988815824,0.475301851172772
"2","2015","Curveball",52846,6756,21571,31271,12114,2535,2295.26102259395,78.2182814214889,5.67270786814518,77.1062918669341,-1.11011050978314,0.129410210801196,0.291606800893161,0.344809484161526,0.258039719184044,0.247662434242894,0.207537334897627,86.3668016500776,8.77984521061197,0.209262010896483,0.408186050032169,0.313198275462426,0.686801724537574,0.591738258335541
"3","2015","Cutter",39679,4343,19872,19807,9643,2456,2198.60336702034,88.4200962725875,5.96589883817636,87.8500879558457,-0.57210111141914,0.151063005620101,0.286755765014239,0.406466216386502,0.310045036417248,0.311006754202475,0.24997865369591,86.7408402429497,11.6551273973638,0.254692523073732,0.500819073061317,0.218548711755233,0.781451288244767,0.499180926938683
"4","2015","Fastball",247787,21375,116344,131443,53928,14468,2239.09206294116,93.1227489739171,6.16605358634634,92.5846563782604,-0.539040385492379,0.175566421967254,0.302385540807226,0.443650147102148,0.342280212440524,0.341477075068506,0.259009939988781,89.2375314282024,16.242526444083,0.268283637442516,0.469532299918882,0.183722409406587,0.816277590593413,0.530467700081118
"5","2015","Sinker",148278,9130,67811,80466,36378,10567,2114.71939869704,92.1402655822172,6.07616005071555,91.4372571116416,-0.707964094471196,0.146528540983828,0.31153841432984,0.436329077813297,0.345259532769527,0.345178165338081,0.280211339510919,89.20127126074,5.81693238376563,0.290477761284293,0.457323406034611,0.134638922888617,0.865361077111383,0.542669849876583
"6","2015","Slider",99865,16734,49257,50607,25354,5449,2084.05176988935,84.822076803685,5.79920292394733,83.9896285986081,-0.832352676112752,0.126006989435738,0.29015257597757,0.343104881590147,0.263168527512141,0.252708306213388,0.2047959945927,85.8716006608922,11.0458348770841,0.214916778417607,0.49323586842237,0.339728363481333,0.660271636518667,0.50675411805938
"7","2016","Change",72009,11716,37525,34482,18478,4403,1741.87433515255,84.1750850588121,6.13901928925551,83.5169994028524,-0.657105361829771,0.155501145690122,0.27817078420753,0.396615200877668,0.293796317127026,0.286597661403436,0.236445208237859,85.8764946048411,8.86336707911511,0.238283364000433,0.52111541612854,0.312218520986009,0.687781479013991,0.478856809565471
"8","2016","Curveball",62427,7996,25056,37371,14002,2950,2453.03767600557,78.1423422557547,5.72757060246368,76.8962218270941,-1.24711262754898,0.136939481314175,0.29483753824467,0.354021657295721,0.261794127540968,0.252395550002403,0.208635510276002,86.6493119964118,10.1201403238983,0.210684187973147,0.401364794079485,0.319125159642401,0.680874840357599,0.598635205920515
"9","2016","Cutter",36208,4166,18036,18172,8755,2235,2315.96788002651,88.6344454264251,6.03189792311091,87.9854098541759,-0.646277065841803,0.152566283694211,0.293238068935042,0.409908777065842,0.312354065399912,0.310289853071144,0.251522702165267,86.7004446531153,11.9905352408308,0.255282695602513,0.498121961997349,0.230982479485473,0.769017520514527,0.501878038002651
"10","2016","Fastball",256069,22443,119612,136457,54797,14871,2266.55642815023,93.225376363402,6.20013031643815,92.5827130968606,-0.643243032151491,0.189225732126888,0.305640393800109,0.460235081169529,0.349642283915663,0.347957499736399,0.262776974174929,89.5244465358946,16.7074179225131,0.271383469897987,0.467108474668937,0.187631675751597,0.812368324248403,0.532891525331063
